,0,1
1230,ann,4
1231,doing,5
1232,run,4
1233,quick,2
1234,direction,5
1235,pointed,1
1236,mistake,3
1237,housemaid,1
1238,finds,1
1239,gloves—that,1
1240,neat,1
1241,brass,1
1242,plate,3
1243,w,1
1244,engraved,1
1245,knocking,3
1246,upstairs,1
1247,lest,1
1248,real,3
1249,messages,2
1250,fancying,1
1251,directly,2
1252,nurse,2
1253,ordering,2
1254,tidy,1
1255,room,13
1256,window,8
1257,hoped,1
1258,pairs,1
1259,stood,7
1260,looking-glass,1
1261,nevertheless,1
1262,uncorked,1
1263,lips,1
1264,interesting,5
1265,whenever,1
1266,does,9
1267,expected,1
1268,drunk,2
1269,pressing,1
1270,ceiling,1
1271,stoop,2
1272,save,1
1273,broken,6
1274,enough—i,1
1275,more—as,1
1276,door—i,1
1277,kneel,1
1278,floor,3
1279,effect,3
1280,elbow,3
1281,arm,12
1282,curled,2
1283,resource,1
1284,chimney,6
1285,whatever,3
1286,become,5
1287,magic,1
1288,full,6
1289,grew,1
1290,chance,4
1291,unhappy,2
1292,pleasanter,1
1293,wasn,11
1294,ordered,4
1295,rabbits,1
1296,gone,13
1297,rabbit-hole—and,1
1298,yet—and,1
1299,yet—it,1
1300,fairy-tales,1
1301,fancied,2
1302,write,6
1303,one—but,1
1304,grown,7
1305,least,8
1306,comfort,1
1307,way—never,1
1308,woman—but,1
1309,then—always,1
1310,shouldn,5
1311,foolish,1
1312,answered,4
1313,lesson-books,1
1314,taking,5
1315,outside,4
1316,stopped,3
1317,trembled,2
1318,forgetting,3
1319,reason,9
1320,inwards,1
1321,attempt,1
1322,proved,2
1323,failure,1
1324,snatch,2
1325,shriek,5
1326,crash,3
1327,concluded,2
1328,possible,1
1329,cucumber-frame,1
1330,voice—the,1
1331,s—,1
1332,pat,3
1333,apples,2
1334,yer,4
1335,honour,4
1336,sounds,4
1337,pronounced,1
1338,arrum,1
1339,goose,2
1340,fills,1
1341,business,7
1342,whispers,1
1343,coward,1
1344,shrieks,1
1345,cucumber-frames,1
1346,pulling,1
1347,hearing,4
1348,rumbling,1
1349,cartwheels,1
1350,together,9
1351,ladder,1
1352,—why,1
1353,other—bill,1
1354,lad,1
1355,—here,1
1356,em,3
1357,corner—no,1
1358,tie,1
1359,first—they,1
1360,yet—oh,1
1361,particular—here,1
1362,rope—will,1
1363,bear,2
1364,—mind,1
1365,loose,1
1366,slate—oh,1
1367,below,3
1368,loud,6
1369,—it,2
1370,fancy—who,1
1371,—nay,1
1372,—_that,1
1373,—bill,1
1374,down—here,1
1375,master,3
1376,shy,1
1377,place,8
1378,fireplace,1
1379,kick,3
1380,drew,5
1381,scratching,1
1382,scrambling,1
1383,above,3
1384,sharp,6
1385,along—,1
1386,voices—,1
1387,head—brandy,1
1388,now—don,1
1389,choke,1
1390,him—how,1
1391,fellow,4
1392,feeble,2
1393,squeaking,2
1394,know—no,1
1395,thank,4
1396,ye,1
1397,now—but,1
1398,flustered,1
1399,you—all,1
1400,comes,2
1401,jack-in-the-box,1
1402,sky-rocket,1
1403,dead,4
1404,instantly,5
1405,sense,3
1406,moving,3
1407,barrowful,2
1408,doubt,4
1409,shower,2
1410,pebbles,2
1411,rattling,2
1412,hit,2
1413,shouted,9
1414,produced,1
1415,surprise,5
1416,cakes,3
1417,lay,4
1418,swallowed,1
1419,delighted,2
1420,crowd,4
1421,lizard,6
1422,held,4
1423,guinea-pigs,4
1424,giving,2
1425,rush,2
1426,appeared,8
1427,safe,2
1428,thick,1
1429,wood,7
1430,wandered,2
1431,plan,4
1432,excellent,2
1433,arranged,1
1434,difficulty,4
1435,smallest,2
1436,peering,1
1437,trees,7
1438,bark,2
1439,enormous,1
1440,puppy,7
1441,feebly,1
1442,stretching,2
1443,paw,3
1444,touch,1
1445,coaxing,2
1446,whistle,1
1447,terribly,1
1448,hungry,3
1449,spite,1
1450,picked,3
1451,stick,4
1452,whereupon,1
1453,yelp,1
1454,rushed,1
1455,worry,1
1456,dodged,1
1457,thistle,2
1458,keep,11
1459,tumbled,1
1460,heels,1
1461,cart-horse,1
1462,trampled,1
1463,series,1
1464,charges,1
1465,forwards,1
1466,each,8
1467,barking,1
1468,hoarsely,1
1469,mouth,10
1470,faint,1
1471,leant,1
1472,buttercup,1
1473,fanned,1
1474,teaching,1
1475,tricks,1
1476,if—if,1
1477,see—how,1
1478,blades,1
1479,grass,4
1480,circumstances,1
1481,mushroom,8
1482,height,5
1483,stretched,2
1484,tiptoe,2
1485,edge,3
1486,immediately,3
1487,blue,1
1488,arms,6
1489,folded,3
1490,quietly,5
1491,smoking,2
1492,hookah,5
1493,addressed,2
1494,languid,1
1495,encouraging,2
1496,shyly,1
1497,i—i,2
1498,present—at,1
1499,sternly,1
1500,clearly,1
1501,sizes,1
1502,confusing,3
1503,isn,7
1504,haven,8
1505,turn,10
1506,chrysalis—you,1
1507,know—and,1
1508,butterfly,1
1509,may,13
1510,contemptuously,2
1511,brought,3
1512,irritated,1
1513,remarks,3
1514,state,1
1515,promising,1
1516,swallowing,1
1517,anger,2
1518,wait,1
1519,puffed,1
1520,unfolded,2
1521,used—and,1
1522,busy,2
